generic_a,generic_b,severity,mechanism,effect,management,evidence_level,source
doxycycline,calcium-carbonate-vitamin-d3,moderate,Chelation in the gut,Reduced doxycycline absorption,Separate doses by 2-3 hours,established,dev seed 2026
doxycycline,ferrous-sulfate,moderate,Chelation in the gut,Reduced doxycycline absorption,Separate doses by 2-3 hours,established,dev seed 2026
levothyroxine,calcium-carbonate-vitamin-d3,moderate,Adsorption of thyroxine,Reduced thyroxine absorption,Separate by 4 hours,established,dev seed 2026
levothyroxine,ferrous-sulfate,moderate,Iron binds thyroxine,Reduced thyroxine absorption,Separate by 4 hours,established,dev seed 2026
levothyroxine,omeprazole,minor,Reduced gastric acidity,Slightly reduced thyroxine absorption,Monitor TSH,probable,dev seed 2026
tramadol,sertraline,major,Additive serotonergic activity; CYP2D6 inhibition,Serotonin syndrome; seizures,Avoid; use alternative analgesic,established,dev seed 2026
tramadol,amitriptyline,major,Additive serotonergic activity; lowered seizure threshold,Serotonin syndrome; seizures,Avoid or use lowest doses,established,dev seed 2026
sertraline,amitriptyline,major,Additive serotonergic activity; CYP2D6 inhibition,Serotonin syndrome; TCA toxicity,Avoid combination,established,dev seed 2026
tramadol,clonazepam,major,Additive CNS depression,"Respiratory depression, sedation",Avoid; if needed lowest doses and monitor,established,dev seed 2026
tramadol,diazepam,major,Additive CNS depression,"Respiratory depression, sedation",Avoid; if needed lowest doses and monitor,established,dev seed 2026
azithromycin,ondansetron,major,Additive QT prolongation,Torsades de pointes,Avoid in patients with QT risk; ECG monitoring,probable,dev seed 2026
levofloxacin,ondansetron,major,Additive QT prolongation,Torsades de pointes,Avoid in patients with QT risk,probable,dev seed 2026
domperidone,fluconazole,major,CYP3A4 inhibition raises domperidone levels; additive QT effect,"QT prolongation, arrhythmia",Avoid,established,dev seed 2026
domperidone,azithromycin,major,Additive QT prolongation,"QT prolongation, arrhythmia",Avoid,probable,dev seed 2026
atorvastatin,fluconazole,moderate,CYP3A4 inhibition,Increased statin exposure; myopathy risk,Consider pausing statin during the course,established,dev seed 2026
bisoprolol,salbutamol,moderate,Pharmacological antagonism,Reduced bronchodilation; bronchospasm,Prefer cardioselective agents at low dose; monitor,established,dev seed 2026
atenolol,salbutamol,moderate,Pharmacological antagonism,Reduced bronchodilation; bronchospasm,Monitor respiratory status,established,dev seed 2026
allopurinol,amoxicillin,moderate,Unknown,Increased incidence of rash,Warn patient; stop if rash appears,probable,dev seed 2026
amlodipine,atorvastatin,minor,CYP3A4 competition,Slightly increased statin exposure,No action usually needed,probable,dev seed 2026
