generic_slug,public_slug,indications,indications_bn,side_effects,side_effects_bn,contraindications,precautions,patient_advice_bn,published
amoxicillin-clavulanic-acid,amoxicillin-clavulanic-acid,[dev seed] Amoxicillin + Clavulanic acid: indications as per the current national formulary.,[dev seed] অ্যামোক্সিসিলিন + ক্ল্যাভুল্যানিক অ্যাসিড: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Amoxicillin + Clavulanic acid: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] অ্যামোক্সিসিলিন + ক্ল্যাভুল্যানিক অ্যাসিড: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] অ্যামোক্সিসিলিন + ক্ল্যাভুল্যানিক অ্যাসিড: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
cefixime,cefixime,[dev seed] Cefixime: indications as per the current national formulary.,[dev seed] সেফিক্সিম: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Cefixime: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] সেফিক্সিম: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] সেফিক্সিম: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
cefuroxime,cefuroxime,[dev seed] Cefuroxime: indications as per the current national formulary.,[dev seed] সেফুরক্সিম: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Cefuroxime: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] সেফুরক্সিম: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] সেফুরক্সিম: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
ceftriaxone,ceftriaxone,[dev seed] Ceftriaxone: indications as per the current national formulary.,[dev seed] সেফট্রিয়াক্সন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Ceftriaxone: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] সেফট্রিয়াক্সন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] সেফট্রিয়াক্সন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
azithromycin,azithromycin,"Respiratory, skin and sexually transmitted infections; typhoid.","শ্বাসনালী, ত্বকের সংক্রমণ ও টাইফয়েড।","Nausea, diarrhoea, abdominal pain; rarely QT prolongation.","বমি ভাব, পাতলা পায়খানা, পেট ব্যথা।",Macrolide allergy; severe liver disease.,Caution with other QT-prolonging drugs.,খালি পেটে বা খাবারের ১ ঘণ্টা আগে খান। কোর্স সম্পূর্ণ করুন।,1
doxycycline,doxycycline,[dev seed] Doxycycline: indications as per the current national formulary.,[dev seed] ডক্সিসাইক্লিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Doxycycline: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ডক্সিসাইক্লিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ডক্সিসাইক্লিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
ciprofloxacin,ciprofloxacin,"Urinary, gastrointestinal and typhoid infections.","প্রস্রাব, পেটের সংক্রমণ ও টাইফয়েড।","Nausea, diarrhoea, tendon pain, photosensitivity.","বমি ভাব, পাতলা পায়খানা, টেন্ডনে ব্যথা।",Quinolone allergy; children unless essential.,Stop at first sign of tendon pain; avoid excessive sunlight.,প্রচুর পানি পান করুন। দুধ বা অ্যান্টাসিডের সাথে খাবেন না।,1
levofloxacin,levofloxacin,[dev seed] Levofloxacin: indications as per the current national formulary.,[dev seed] লেভোফ্লক্সাসিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Levofloxacin: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] লেভোফ্লক্সাসিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] লেভোফ্লক্সাসিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
moxifloxacin,moxifloxacin,[dev seed] Moxifloxacin: indications as per the current national formulary.,[dev seed] মক্সিফ্লক্সাসিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Moxifloxacin: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] মক্সিফ্লক্সাসিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] মক্সিফ্লক্সাসিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
metronidazole,metronidazole,"Amoebiasis, giardiasis, anaerobic and dental infections.","আমাশয়, দাঁতের ও অ্যানারোবিক সংক্রমণ।","Metallic taste, nausea; disulfiram-like reaction with alcohol.","মুখে ধাতব স্বাদ, বমি ভাব।",First trimester (high dose); hypersensitivity.,No alcohol during and 48 h after the course.,কোর্সের সময় ও পরের ২ দিন মদ্যপান করবেন না।,1
cotrimoxazole,cotrimoxazole,[dev seed] Cotrimoxazole: indications as per the current national formulary.,[dev seed] কোট্রাইমক্সাজল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Cotrimoxazole: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] কোট্রাইমক্সাজল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] কোট্রাইমক্সাজল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
nitrofurantoin,nitrofurantoin,[dev seed] Nitrofurantoin: indications as per the current national formulary.,[dev seed] নাইট্রোফিউরানটয়েন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Nitrofurantoin: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] নাইট্রোফিউরানটয়েন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] নাইট্রোফিউরানটয়েন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
fluconazole,fluconazole,[dev seed] Fluconazole: indications as per the current national formulary.,[dev seed] ফ্লুকোনাজল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Fluconazole: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ফ্লুকোনাজল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ফ্লুকোনাজল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
clotrimazole,clotrimazole,[dev seed] Clotrimazole: indications as per the current national formulary.,[dev seed] ক্লোট্রাইমাজল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Clotrimazole: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ক্লোট্রাইমাজল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ক্লোট্রাইমাজল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
albendazole,albendazole,[dev seed] Albendazole: indications as per the current national formulary.,[dev seed] অ্যালবেনডাজল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Albendazole: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] অ্যালবেনডাজল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] অ্যালবেনডাজল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
cetirizine,cetirizine,"Allergic rhinitis, urticaria, itching.","অ্যালার্জি, হাঁচি, চুলকানি।","Drowsiness, dry mouth, headache.","ঝিমুনি, মুখ শুকিয়ে যাওয়া, মাথাব্যথা।",End-stage renal disease.,May impair driving.,ঘুম ঘুম লাগতে পারে; গাড়ি চালানোর সময় সতর্ক থাকুন।,1
loratadine,loratadine,[dev seed] Loratadine: indications as per the current national formulary.,[dev seed] লোরাটাডিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Loratadine: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] লোরাটাডিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] লোরাটাডিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
fexofenadine,fexofenadine,[dev seed] Fexofenadine: indications as per the current national formulary.,[dev seed] ফেক্সোফেনাডিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Fexofenadine: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ফেক্সোফেনাডিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ফেক্সোফেনাডিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
chlorpheniramine,chlorpheniramine,[dev seed] Chlorpheniramine: indications as per the current national formulary.,[dev seed] ক্লোরফেনিরামিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Chlorpheniramine: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ক্লোরফেনিরামিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ক্লোরফেনিরামিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
montelukast,montelukast,Asthma prophylaxis; allergic rhinitis.,হাঁপানি প্রতিরোধ; অ্যালার্জিক রাইনাইটিস।,"Headache, abdominal pain; rarely mood or sleep changes.","মাথাব্যথা, পেট ব্যথা; কদাচিৎ মেজাজ পরিবর্তন।",Hypersensitivity.,Not for relief of an acute asthma attack.,"রাতে খান। হঠাৎ শ্বাসকষ্টে এটি কাজ করে না, রিলিভার ইনহেলার ব্যবহার করুন।",1
salbutamol,salbutamol,Asthma and COPD: relief of bronchospasm.,হাঁপানি ও সিওপিডি: শ্বাসকষ্ট উপশম।,"Tremor, palpitations, headache, low potassium at high doses.","হাত কাঁপা, বুক ধড়ফড়, মাথাব্যথা।",Hypersensitivity.,Increasing need for the reliever means the asthma is not controlled.,ইনহেলার ব্যবহারের সঠিক পদ্ধতি শিখে নিন। বারবার লাগলে চিকিৎসককে জানান।,1
salmeterol-fluticasone,salmeterol-fluticasone,[dev seed] Salmeterol + Fluticasone: indications as per the current national formulary.,[dev seed] সালমেটেরল + ফ্লুটিকাসন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Salmeterol + Fluticasone: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] সালমেটেরল + ফ্লুটিকাসন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] সালমেটেরল + ফ্লুটিকাসন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
budesonide,budesonide,[dev seed] Budesonide: indications as per the current national formulary.,[dev seed] বুডেসোনাইড: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Budesonide: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] বুডেসোনাইড: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] বুডেসোনাইড: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
xylometazoline,xylometazoline,[dev seed] Xylometazoline: indications as per the current national formulary.,[dev seed] জাইলোমেটাজোলিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Xylometazoline: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] জাইলোমেটাজোলিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] জাইলোমেটাজোলিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
prednisolone,prednisolone,[dev seed] Prednisolone: indications as per the current national formulary.,[dev seed] প্রেডনিসোলন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Prednisolone: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] প্রেডনিসোলন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] প্রেডনিসোলন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
dexamethasone,dexamethasone,[dev seed] Dexamethasone: indications as per the current national formulary.,[dev seed] ডেক্সামেথাসন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Dexamethasone: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ডেক্সামেথাসন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ডেক্সামেথাসন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
betamethasone,betamethasone,[dev seed] Betamethasone: indications as per the current national formulary.,[dev seed] বিটামেথাসন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Betamethasone: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] বিটামেথাসন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] বিটামেথাসন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
metformin,metformin,Type 2 diabetes mellitus.,টাইপ ২ ডায়াবেটিস।,"Nausea, diarrhoea, metallic taste; rarely lactic acidosis.","বমি ভাব, পাতলা পায়খানা, মুখে ধাতব স্বাদ।",eGFR below 30 ml/min; acute illness with dehydration; severe liver disease.,Stop temporarily during contrast studies and severe vomiting or diarrhoea.,খাবারের সাথে বা পরে খান। বমি বা পাতলা পায়খানা হলে চিকিৎসককে জানান।,1
glimepiride,glimepiride,[dev seed] Glimepiride: indications as per the current national formulary.,[dev seed] গ্লিমেপিরাইড: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Glimepiride: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] গ্লিমেপিরাইড: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] গ্লিমেপিরাইড: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
gliclazide,gliclazide,[dev seed] Gliclazide: indications as per the current national formulary.,[dev seed] গ্লিক্লাজাইড: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Gliclazide: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] গ্লিক্লাজাইড: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] গ্লিক্লাজাইড: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
sitagliptin,sitagliptin,[dev seed] Sitagliptin: indications as per the current national formulary.,[dev seed] সিটাগ্লিপটিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Sitagliptin: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] সিটাগ্লিপটিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] সিটাগ্লিপটিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
insulin-human-70-30,insulin-human-70-30,[dev seed] Insulin human 70/30: indications as per the current national formulary.,[dev seed] হিউম্যান ইনসুলিন ৭০/৩০: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Insulin human 70/30: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] হিউম্যান ইনসুলিন ৭০/৩০: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] হিউম্যান ইনসুলিন ৭০/৩০: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
